06-07-2019 01:55:38.202,-,API,"CoordinadorTemporal,0013A2004180A081,ZIGBEE TH Reg,4060,/dev/ttyUSB1 - 9600/8/N/1/N,0,46"

06-07-2019 01:22:15.691,957,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:16.644,958,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:17.616,959,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:18.598,960,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:19.550,961,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:20.522,962,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:21.504,963,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:22.456,964,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:23.467,965,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:24.409,966,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:25.371,967,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:26.372,968,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:27.314,969,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:28.276,970,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:29.268,971,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:30.271,972,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:31.182,973,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:32.174,974,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:33.176,975,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:34.097,976,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:35.079,977,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:36.051,978,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:37.033,979,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:37.985,980,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:38.968,981,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:39.939,982,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:40.941,983,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:41.893,984,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:42.844,985,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:22:43.817,986,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:22:44.799,987,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:22:45.751,988,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:46.764,989,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:47.705,990,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:48.658,991,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:49.661,992,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:50.613,993,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:51.575,994,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:52.567,995,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:53.518,996,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:54.531,997,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:55.473,998,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:56.435,999,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:57.438,1000,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:58.379,1001,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:22:59.342,1002,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:00.354,1003,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:23:01.285,1004,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:23:02.248,1005,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:23:03.240,1006,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:04.241,1007,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:05.174,1008,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:06.145,1009,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:07.146,1010,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:08.098,1011,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:09.050,1012,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:10.022,1013,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:11.006,1014,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:23:11.958,1015,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:23:12.940,1016,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:13.911,1017,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:14.863,1018,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:15.865,1019,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:16.817,1020,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:17.829,1021,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:18.772,1022,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:19.724,1023,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:20.735,1024,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:21.677,1025,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:23:22.639,1026,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:23:23.631,1027,RECV,7E0012920013A200416D73AFF951010100010000019A
06-07-2019 01:23:24.582,1028,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:25.545,1029,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:26.536,1030,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:27.493,1031,RECV,7E0012920013A200416D73AFF951010100010000009B
06-07-2019 01:23:28.455,1032,RECV,7E0012920013A200416D73AFF951010100010000009B
